AREA DEM REP OTH OVERVOTES UNDERVOTES BLANKVOTES TOT
AREA DEM REP OTH OVERVOTES UNDERVOTES BLANKVOTES TOT
AL-1 58906 98257 7 0 0 0 0
AL-2 66288 90069 5 0 0 0 0
AL-3 106935 NA 1113 0 0 0 0
AL-4 141490 34531 1 0 0 0 0
AL-5 113553 NA 7 0 0 0 0
AL-6 69384 92113 1021 0 0 0 0
AL-7 110496 NA 5 0 0 0 0
AK-1 34194 83722 292 0 0 0 0
AZ-1 68404 96397 3318 0 0 0 0
AZ-2 106054 71765 4309 0 0 0 0
AZ-3 88854 79162 19149 0 0 0 0
AZ-4 92435 93154 6001 0 0 0 0
AR-1 116217 52565 0 0 0 0 0
AR-2 144780 22819 8 0 0 0 0
AR-3 NA 1 0 0 0 0 0
AR-4 1 NA 0 0 0 0 0
CA-1 160477 56539 0 0 0 0 0
CA-2 88829 121290 6444 0 0 0 0
CA-3 139779 52075 0 0 0 0 0
CA-4 75844 75193 0 0 0 0 0
CA-5 103746 64008 0 0 0 0 0
CA-6 86493 35359 9064 0 0 0 0
CA-7 147064 45863 3889 0 0 0 0
CA-8 122342 68374 6238 0 0 0 0
CA-9 116398 44607 3386 0 0 0 0
CA-10 111992 38088 5363 0 0 0 0
CA-11 107618 62435 6141 0 0 0 0
CA-12 61526 130332 4999 0 0 0 0
CA-13 135291 63130 4190 0 0 0 0
CA-14 123285 46674 0 0 0 0 0
CA-15 92735 35700 0 0 0 0 0
CA-16 104545 91160 0 0 0 0 0
CA-17 103898 54270 0 0 0 0 0
CA-18 56683 101658 0 0 0 0 0
CA-19 68722 124201 0 0 0 0 0
CA-20 71193 146158 0 0 0 0 0
CA-21 101837 44094 7178 0 0 0 0
CA-22 68543 114769 0 0 0 0 0
CA-23 130619 86434 0 0 0 0 0
CA-24 108296 51478 0 0 0 0 0
CA-25 57966 17737 4922 0 0 0 0
CA-26 59093 112619 0 0 0 0 0
CA-27 94988 114623 0 0 0 0 0
CA-28 114612 28303 0 0 0 0 0
CA-29 82515 10852 3235 0 0 0 0
CA-30 82767 28503 0 0 0 0 0
CA-31 83155 NA 0 0 0 0 0
CA-32 92034 35394 0 0 0 0 0
CA-33 77807 95398 0 0 0 0 0
CA-34 100988 98147 0 0 0 0 0
CA-35 87472 76765 0 0 0 0 0
CA-36 90830 49368 7358 0 0 0 0
CA-37 49021 133634 5352 0 0 0 0
CA-38 103317 59092 0 0 0 0 0
CA-39 86745 122657 0 0 0 0 0
CA-40 102132 148512 0 0 0 0 0
CA-41 94590 128784 0 0 0 0 0
CA-42 103062 32565 0 0 0 0 0
CA-43 93475 173576 0 0 0 0 0
CO-1 103037 89384 1189 0 0 0 0
CO-2 121340 118938 0 0 0 0 0
CO-3 89302 82315 3615 0 0 0 0
CO-4 76995 119458 24565 0 0 0 0
CO-5 64067 126784 0 0 0 0 0
CT-1 128479 94106 2436 0 0 0 0
CT-2 142684 74743 1857 0 0 0 0
CT-3 121623 96714 4286 0 0 0 0
CT-4 76722 126314 3997 0 0 0 0
CT-5 77308 157009 1743 0 0 0 0
CT-6 134914 102364 1004 0 0 0 0
DE-1 102411 110636 2038 0 0 0 0
FL-1 1 NA 0 0 0 0 0
FL-2 1 NA 0 0 0 0 0
FL-3 1 NA 0 0 0 0 0
FL-4 1 NA 0 0 0 0 0
FL-5 96260 138371 0 0 0 0 0
FL-6 80821 151371 26 0 0 0 0
FL-7 102739 53599 0 0 0 0 0
FL-8 103360 74794 0 0 0 0 0
FL-9 36630 130509 0 0 0 0 0
FL-10 83413 164273 0 0 0 0 0
FL-11 199031 NA 19406 0 0 0 0
FL-12 91749 107268 59 0 0 0 0
FL-13 127822 35357 0 0 0 0 0
FL-14 82665 30774 0 0 0 0 0
FL-15 121292 50941 0 0 0 0 0
GA-1 73826 NA 62 0 0 0 0
GA-2 95807 NA 219 0 0 0 0
GA-3 93174 11829 1 0 0 0 0
GA-4 110261 51140 11 0 0 0 0
GA-5 96056 47998 9 0 0 0 0
GA-6 77532 72400 12 0 0 0 0
GA-7 84587 68947 20 0 0 0 0
GA-8 90559 39623 4 0 0 0 0
GA-9 113245 29954 158 0 0 0 0
GA-10 94782 NA 82 0 0 0 0
HI-1 60050 53745 23807 0 0 0 0
