AREA DEM REP OTH OVERVOTES UNDERVOTES BLANKVOTES TOT
AREA DEM REP OTH OVERVOTES UNDERVOTES BLANKVOTES TOT
AL-1 69470 132206 3741 0 0 0 0
AL-2 74317 132563 2913 0 0 0 0
AL-3 92325 98353 4369 0 0 0 0
AL-4 99250 102741 3926 0 0 0 0
AL-5 114442 86727 4378 0 0 0 0
AL-6 69592 180781 4486 0 0 0 0
AL-7 136651 52142 3320 0 0 0 0
AK-1 85114 138834 9752 0 0 0 0
AZ-1 89738 135634 0 0 0 0 0
AZ-2 81982 38786 5333 0 0 0 0
AZ-3 88214 175231 0 0 0 0 0
AZ-4 74857 150486 0 0 0 0 0
AZ-5 67597 179349 13952 0 0 0 0
AZ-6 118957 121431 14899 0 0 0 0
AR-1 105280 88436 5734 0 0 0 0
AR-2 114841 104548 0 0 0 0 0
AR-3 102994 137093 6045 0 0 0 0
AR-4 72391 125956 0 0 0 0 0
CA-1 96522 110243 15354 0 0 0 0
CA-2 80401 144913 13012 0 0 0 0
CA-3 118663 91134 11940 0 0 0 0
CA-4 97948 164048 9319 0 0 0 0
CA-5 142618 52940 6902 0 0 0 0
CA-6 156958 86278 10600 0 0 0 0
CA-7 137089 42542 11286 0 0 0 0
CA-8 175216 25739 6783 0 0 0 0
CA-9 154806 37126 9036 0 0 0 0
CA-10 137726 133633 11824 0 0 0 0
CA-11 65536 107477 8083 0 0 0 0
CA-12 149049 49276 9583 0 0 0 0
CA-13 114408 53385 7746 0 0 0 0
CA-14 148773 71571 9289 0 0 0 0
CA-15 79048 132737 15083 0 0 0 0
CA-16 94020 43197 5990 0 0 0 0
CA-17 115116 73856 6573 0 0 0 0
CA-18 108827 52695 4064 0 0 0 0
CA-19 58452 137402 10525 0 0 0 0
CA-20 65381 45276 5048 0 0 0 0
CA-21 50694 125916 14542 0 0 0 0
CA-22 118299 107987 17900 0 0 0 0
CA-23 70035 118880 10592 0 0 0 0
CA-24 106193 93629 15026 0 0 0 0
CA-25 65089 122428 8686 0 0 0 0
CA-26 67525 29332 5658 0 0 0 0
CA-27 82014 95310 12606 0 0 0 0
CA-28 69037 113389 4459 0 0 0 0
CA-29 145278 52857 16682 0 0 0 0
CA-30 58283 15078 7229 0 0 0 0
CA-31 69285 28705 4700 0 0 0 0
CA-32 124712 18768 7947 0 0 0 0
CA-33 47478 8147 2203 0 0 0 0
CA-34 94730 36852 6858 0 0 0 0
CA-35 92762 13116 2610 0 0 0 0
CA-36 117752 98538 8169 0 0 0 0
CA-37 87247 15399 0 0 0 0 0
CA-38 71627 88136 7882 0 0 0 0
CA-39 61392 120761 10137 0 0 0 0
CA-40 44102 98821 9338 0 0 0 0
CA-41 47346 83934 12165 0 0 0 0
CA-42 52166 51170 0 0 0 0 0
CA-43 67422 97247 12971 0 0 0 0
CA-44 73844 110643 7031 0 0 0 0
CA-45 68312 125326 11884 0 0 0 0
CA-46 47964 46980 7840 0 0 0 0
CA-47 70362 160078 13337 0 0 0 0
CA-48 59558 145814 16019 0 0 0 0
CA-49 86657 108806 11305 0 0 0 0
CA-50 73200 38351 6789 0 0 0 0
CA-51 66250 149032 13742 0 0 0 0
CA-52 53104 116746 8471 0 0 0 0
CO-1 112631 79540 5668 0 0 0 0
CO-2 145894 97865 12025 0 0 0 0
CO-3 82953 183523 0 0 0 0 0
CO-4 92837 137012 14218 0 0 0 0
CO-5 73660 188805 0 0 0 0 0
CO-6 88600 146018 0 0 0 0 0
CT-1 158222 53666 3248 0 0 0 0
CT-2 115175 100332 7742 0 0 0 0
CT-3 150798 59335 1219 0 0 0 0
CT-4 75902 121949 3861 0 0 0 0
CT-5 111974 98782 4374 0 0 0 0
CT-6 111433 113020 3303 0 0 0 0
DE-1 73258 185577 7996 0 0 0 0
FL-1 66495 175946 104 0 0 0 0
FL-2 138151 94122 127 0 0 0 0
FL-3 98085 62196 0 0 0 0 0
FL-4 NA 1 0 0 0 0 0
FL-5 161050 100051 0 0 0 0 0
FL-6 78908 161527 7 0 0 0 0
FL-7 87832 143667 58 0 0 0 0
FL-8 65794 136515 17 0 0 0 0
FL-9 73809 161708 0 0 0 0 0
FL-10 57375 114443 2 0 0 0 0
FL-11 108522 78881 0 0 0 0 0
FL-12 76513 122584 0 0 0 0 0
FL-13 96098 173671 135 0 0 0 0
FL-14 63842 176992 0 0 0 0 0
FL-15 115981 139014 15355 0 0 0 0
FL-16 98827 175714 0 0 0 0 0
FL-17 114638 14525 2 0 0 0 0
FL-18 NA 123659 6 0 0 0 0
FL-19 188766 99101 0 0 0 0 0
FL-20 159256 85777 0 0 0 0 0
FL-21 NA 125469 4 0 0 0 0
FL-22 84517 137098 3 0 0 0 0
FL-23 102161 36907 21 0 0 0 0
GA-1 50622 108616 0 0 0 0 0
GA-2 88256 75282 0 0 0 0 0
GA-3 76538 120251 0 0 0 0 0
GA-4 127157 92985 0 0 0 0 0
GA-5 136555 NA 0 0 0 0 0
GA-6 127135 174155 0 0 0 0 0
GA-7 81765 112009 0 0 0 0 0
GA-8 84506 93619 0 0 0 0 0
GA-9 69662 132532 0 0 0 0 0
GA-10 88054 96723 0 0 0 0 0
GA-11 80940 145821 0 0 0 0 0
HI-1 86732 80053 5421 0 0 0 0
HI-2 109178 55729 16056 0 0 0 0
ID-1 125899 132344 6535 0 0 0 0
ID-2 67625 157646 3977 0 0 0 0
IL-1 174005 25659 3449 0 0 0 0
IL-2 172648 NA 10895 0 0 0 0
IL-3 137153 67214 5549 0 0 0 0
IL-4 85278 NA 5857 0 0 0 0
IL-5 117544 65768 14 0 0 0 0
IL-6 68807 132401 4746 0 0 0 0
IL-7 149568 27241 4286 0 0 0 0
IL-8 74068 127763 3474 0 0 0 0
IL-9 124319 71763 0 0 0 0 0
IL-10 65144 145626 3 0 0 0 0
IL-11 102388 109896 0 0 0 0 0
IL-12 150005 55690 3824 0 0 0 0
IL-13 94693 141651 0 0 0 0 0
IL-14 74332 134432 0 0 0 0 0
IL-15 90065 121019 0 0 0 0 0
IL-16 90575 137523 2 0 0 0 0
IL-17 120008 109240 1925 0 0 0 0
IL-18 98413 143110 0 0 0 0 0
IL-19 158668 75751 3536 0 0 0 0
IL-20 119688 120926 4 0 0 0 0
IN-1 133553 56418 3142 0 0 0 0
IN-2 85105 123113 4665 0 0 0 0
IN-3 114288 80699 2325 0 0 0 0
IN-4 81740 121344 4796 0 0 0 0
IN-5 63578 125191 22342 0 0 0 0
IN-6 59661 193193 5003 0 0 0 0
IN-7 72705 130010 7125 0 0 0 0
IN-8 106201 109860 3803 0 0 0 0
IN-9 128123 96442 2279 0 0 0 0
IN-10 85965 72796 3612 0 0 0 0
IA-1 111595 129242 3671 0 0 0 0
IA-2 109731 127827 1673 0 0 0 0
IA-3 115914 111895 6989 0 0 0 0
IA-4 119790 133419 3055 0 0 0 0
IA-5 75785 147576 2038 0 0 0 0
KS-1 63948 191899 5298 0 0 0 0
KS-2 114644 131592 5842 0 0 0 0
KS-3 126848 139169 13247 0 0 0 0
KS-4 119544 128486 8361 0 0 0 0
KY-1 96684 111473 0 0 0 0 0
KY-2 90483 125433 0 0 0 0 0
KY-3 125326 126625 0 0 0 0 0
KY-4 68939 149135 0 0 0 0 0
KY-5 NA 117842 11 0 0 0 0
KY-6 125999 100231 0 0 0 0 0
LA-1 NA 1 0 0 0 0 0
LA-2 1 NA 0 0 0 0 0
LA-3 NA 1 0 0 0 0 0
LA-4 NA 1 0 0 0 0 0
LA-5 97363 135990 0 0 0 0 0
LA-6 NA 1 0 0 0 0 0
LA-7 128449 NA 0 0 0 0 0
ME-1 173745 140354 0 0 0 0 0
ME-2 205439 70856 9294 0 0 0 0
MD-1 81825 131033 18 0 0 0 0
MD-2 88344 143075 0 0 0 0 0
MD-3 130204 63229 0 0 0 0 0
MD-4 142094 24700 0 0 0 0 0
MD-5 121288 91806 0 0 0 0 0
MD-6 100910 132853 25 0 0 0 0
MD-7 115764 22929 2 0 0 0 0
MD-8 96229 152538 379 0 0 0 0
MA-1 129232 115801 0 0 0 0 0
MA-2 162995 49885 14305 0 0 0 0
MA-3 135044 115694 3362 0 0 0 0
MA-4 183844 72701 0 0 0 0 0
MA-5 183429 NA 0 0 0 0 0
MA-6 133002 132642 10141 0 0 0 0
MA-7 177053 76407 0 0 0 0 0
MA-8 147126 27303 0 0 0 0 0
MA-9 172009 66079 0 0 0 0 0
MA-10 160745 123520 10913 0 0 0 0
MI-1 181486 69957 5348 0 0 0 0
MI-2 83603 165608 4488 0 0 0 0
MI-3 72791 169466 4786 0 0 0 0
MI-4 79691 159561 4393 0 0 0 0
MI-5 162675 65542 4234 0 0 0 0
MI-6 66243 146170 3421 0 0 0 0
MI-7 93725 120227 4592 0 0 0 0
MI-8 141086 115836 5499 0 0 0 0
MI-9 136856 89733 4611 0 0 0 0
MI-10 132829 106444 5008 0 0 0 0
MI-11 99303 169165 8150 0 0 0 0
MI-12 133436 94235 4804 0 0 0 0
MI-13 123133 89907 4618 0 0 0 0
MI-14 157722 22152 3821 0 0 0 0
