AREA DEM REP OTH OVERVOTES UNDERVOTES BLANKVOTES TOT
AREA DEM REP OTH OVERVOTES UNDERVOTES BLANKVOTES TOT
AL-1 93938 161067 159 0 0 0 0
AL-2 70562 177086 299 0 0 0 0
AL-3 95240 150411 133 0 0 0 0
AL-4 64278 191110 336 0 0 0 0
AL-5 200999 74145 315 0 0 0 0
AL-6 NA 264819 3224 0 0 0 0
AL-7 183408 61019 211 0 0 0 0
AK-1 67074 213216 19706 0 0 0 0
AZ-1 91776 148315 13260 0 0 0 0
AZ-2 107406 165260 6637 0 0 0 0
AZ-3 NA 181012 44962 0 0 0 0
AZ-4 77150 28238 4639 0 0 0 0
AZ-5 102363 159455 6189 0 0 0 0
AZ-6 NA 202882 52695 0 0 0 0
AZ-7 108868 59066 7503 0 0 0 0
AZ-8 109963 183363 10443 0 0 0 0
AR-1 162388 81556 0 0 0 0 0
AR-2 160834 115655 4 0 0 0 0
AR-3 103158 160629 7016 0 0 0 0
AR-4 1 NA 0 0 0 0 0
CA-1 189366 79970 13635 0 0 0 0
CA-2 90310 182119 0 0 0 0 0
CA-3 100025 177738 9310 0 0 0 0
CA-4 117443 221926 0 0 0 0 0
CA-5 138004 45120 10263 0 0 0 0
CA-6 226423 85244 0 0 0 0 0
CA-7 166831 52446 0 0 0 0 0
CA-8 224017 31074 14973 0 0 0 0
CA-9 215630 31278 8131 0 0 0 0
CA-10 182750 95349 0 0 0 0 0
CA-11 103587 163582 0 0 0 0 0
CA-12 171852 52593 28154 0 0 0 0
CA-13 144605 48439 8877 0 0 0 0
CA-14 182712 69564 9612 0 0 0 0
CA-15 154385 59953 0 0 0 0 0
CA-16 129222 47992 5067 0 0 0 0
CA-17 148958 65117 9150 0 0 0 0
CA-18 103732 49973 0 0 0 0 0
CA-19 64047 155354 15863 0 0 0 0
CA-20 61005 53231 0 0 0 0 0
CA-21 51594 140721 0 0 0 0 0
CA-22 NA 209384 0 0 0 0 0
CA-23 153980 83926 6391 0 0 0 0
CA-24 96397 178660 9321 0 0 0 0
CA-25 80395 145575 0 0 0 0 0
CA-26 107522 134596 9089 0 0 0 0
CA-27 125296 66946 8956 0 0 0 0
CA-28 115303 37868 9339 0 0 0 0
CA-29 133670 62871 10291 0 0 0 0
CA-30 216682 87465 0 0 0 0 0
CA-31 89363 22048 0 0 0 0 0
CA-32 119144 NA 21002 0 0 0 0
CA-33 166801 NA 21513 0 0 0 0
CA-34 82282 28175 0 0 0 0 0
CA-35 125949 23591 6867 0 0 0 0
CA-36 151208 81666 11170 0 0 0 0
CA-37 118823 31960 7535 0 0 0 0
CA-38 116851 NA 0 0 0 0 0
CA-39 100132 64832 0 0 0 0 0
CA-40 69684 147617 0 0 0 0 0
CA-41 NA 181605 37332 0 0 0 0
CA-42 78393 167632 0 0 0 0 0
CA-43 86830 44004 0 0 0 0 0
CA-44 78796 138768 7559 0 0 0 0
CA-45 76967 153523 0 0 0 0 0
CA-46 90129 171318 15243 0 0 0 0
CA-47 65684 43099 0 0 0 0 0
CA-48 93525 189004 8343 0 0 0 0
CA-49 79057 141658 5751 0 0 0 0
CA-50 105590 169025 14713 0 0 0 0
CA-51 111441 63526 5912 0 0 0 0
CA-52 74857 187799 8782 0 0 0 0
CA-53 146449 63897 11090 0 0 0 0
CO-1 177077 58659 5193 0 0 0 0
CO-2 207900 94160 7304 0 0 0 0
CO-3 153500 141376 8770 0 0 0 0
CO-4 136812 155958 12739 0 0 0 0
CO-5 74098 193333 6627 0 0 0 0
CO-6 139870 212778 5093 0 0 0 0
CO-7 106026 135571 6167 0 0 0 0
CT-1 198802 73601 0 0 0 0 0
CT-2 140536 166412 130 0 0 0 0
CT-3 200638 69160 7182 0 0 0 0
CT-4 138333 152493 4 0 0 0 0
CT-5 107438 168268 5741 0 0 0 0
DE-1 105716 245978 4351 0 0 0 0
FL-1 72506 236604 0 0 0 0 0
FL-2 201577 125399 11 0 0 0 0
FL-3 172833 NA 1323 0 0 0 0
FL-4 NA 256157 1170 0 0 0 0
FL-5 124140 240315 33 0 0 0 0
FL-6 116680 211137 36 0 0 0 0
FL-7 NA 1 0 0 0 0 0
FL-8 112343 172232 0 0 0 0 0
FL-9 NA 284035 243 0 0 0 0
FL-10 91658 207175 0 0 0 0 0
FL-11 191780 NA 31701 0 0 0 0
FL-12 96965 179204 0 0 0 0 0
FL-13 153961 190477 0 0 0 0 0
FL-14 108672 226662 0 0 0 0 0
FL-15 111538 210388 0 0 0 0 0
FL-16 101247 215563 0 0 0 0 0
FL-17 178690 NA 734 0 0 0 0
FL-18 78281 143647 0 0 0 0 0
FL-19 1 NA 0 0 0 0 0
FL-20 191195 81213 0 0 0 0 0
FL-21 NA 146507 54736 0 0 0 0
FL-22 108258 192581 5887 0 0 0 0
FL-23 1 NA 0 0 0 0 0
FL-24 NA 1 0 0 0 0 0
FL-25 NA 1 0 0 0 0 0
GA-1 NA 188347 0 0 0 0 0
GA-2 129984 64645 0 0 0 0 0
GA-3 136273 80435 0 0 0 0 0
GA-4 157461 89509 0 0 0 0 0
GA-5 201773 NA 0 0 0 0 0
GA-6 NA 267542 77 0 0 0 0
GA-7 NA 258982 0 0 0 0 0
GA-8 73632 227524 0 0 0 0 0
GA-9 68462 197869 0 0 0 0 0
GA-10 NA 219136 0 0 0 0 0
GA-11 89591 120696 0 0 0 0 0
GA-12 113036 105132 0 0 0 0 0
GA-13 170657 NA 0 0 0 0 0
HI-1 128567 69371 6243 0 0 0 0
HI-2 133317 79072 0 0 0 0 0
ID-1 90927 207662 0 0 0 0 0
ID-2 80133 193704 0 0 0 0 0
IL-1 212109 37840 0 0 0 0 0
IL-2 207535 NA 26990 0 0 0 0
IL-3 167034 57845 5077 0 0 0 0
IL-4 104761 15536 4845 0 0 0 0
IL-5 158400 49530 0 0 0 0 0
IL-6 110470 139627 0 0 0 0 0
IL-7 221133 35603 0 0 0 0 0
IL-8 139792 130601 0 0 0 0 0
IL-9 175282 56135 0 0 0 0 0
IL-10 99218 177493 0 0 0 0 0
IL-11 121903 173057 0 0 0 0 0
IL-12 198962 82677 4796 0 0 0 0
IL-13 107836 200472 4 0 0 0 0
IL-14 87590 191618 0 0 0 0 0
IL-15 113625 178114 0 0 0 0 0
IL-16 91452 204350 4 0 0 0 0
IL-17 172320 111680 0 0 0 0 0
IL-18 91548 216047 0 0 0 0 0
IL-19 94303 213451 0 0 0 0 0
IN-1 178406 82858 0 0 0 0 0
IN-2 115513 140496 3346 0 0 0 0
IN-3 76232 171389 0 0 0 0 0
IN-4 77574 190445 6117 0 0 0 0
IN-5 82637 228718 7008 0 0 0 0
IN-6 85123 182529 4397 0 0 0 0
IN-7 121303 97491 4381 0 0 0 0
IN-8 121522 145576 5680 0 0 0 0
IN-9 140772 142197 4541 0 0 0 0
IA-1 125490 159993 4571 0 0 0 0
IA-2 117405 176684 5792 0 0 0 0
IA-3 168007 136099 213 0 0 0 0
IA-4 116121 181294 151 0 0 0 0
IA-5 97597 168583 161 0 0 0 0
KS-1 NA 239776 24517 0 0 0 0
KS-2 121532 165325 7579 0 0 0 0
KS-3 184050 145542 6147 0 0 0 0
KS-4 81388 173151 7376 0 0 0 0
KY-1 85229 175972 186 0 0 0 0
KY-2 87585 185394 0 0 0 0 0
KY-3 124040 197736 6378 0 0 0 0
KY-4 129876 160982 5069 0 0 0 0
KY-5 NA 177579 0 0 0 0 0
KY-6 175355 119716 4146 0 0 0 0
LA-1 19266 225708 0 0 0 0 0
LA-2 173510 46097 0 0 0 0 0
LA-3 57611 57042 0 0 0 0 0
LA-4 NA 1 0 0 0 0 0
