AREA DEM REP OTH OVERVOTES UNDERVOTES BLANKVOTES TOT
AREA DEM REP OTH OVERVOTES UNDERVOTES BLANKVOTES TOT
AL-1 50227 103431 109 0 0 0 0
AL-2 44694 124465 54 0 0 0 0
AL-3 93924 53757 64 0 0 0 0
AL-4 119436 NA 1826 0 0 0 0
AL-5 88693 86923 77 0 0 0 0
AL-6 41030 155047 145 0 0 0 0
AL-7 116150 34814 153 0 0 0 0
AK-1 68172 118537 21531 0 0 0 0
AZ-1 70627 101350 8890 0 0 0 0
AZ-2 62589 32797 5060 0 0 0 0
AZ-3 61939 145396 0 0 0 0 0
AZ-4 69760 116714 7428 0 0 0 0
AZ-5 63436 149514 7821 0 0 0 0
AZ-6 81321 107060 7687 0 0 0 0
AR-1 95290 83147 0 0 0 0 0
AR-2 97580 72473 0 0 0 0 0
AR-3 61883 129800 0 0 0 0 0
AR-4 81370 87469 0 0 0 0 0
CA-1 93717 106870 86 0 0 0 0
CA-2 55959 137864 21037 0 0 0 0
CA-3 97093 89964 8100 0 0 0 0
CA-4 82505 144936 8882 0 0 0 0
CA-5 125042 52905 4649 0 0 0 0
CA-6 137642 88940 10258 0 0 0 0
CA-7 116105 45698 4798 0 0 0 0
CA-8 137642 30528 1 0 0 0 0
CA-9 129233 40448 9194 0 0 0 0
CA-10 90523 138916 4802 0 0 0 0
CA-11 55794 99302 4718 0 0 0 0
CA-12 118408 57228 0 0 0 0 0
CA-13 97344 45555 7743 0 0 0 0
CA-14 120713 78475 0 0 0 0 0
CA-15 119921 80266 17 0 0 0 0
CA-16 74935 40409 8 0 0 0 0
CA-17 87222 74380 5591 0 0 0 0
CA-18 91106 44046 3902 0 0 0 0
CA-19 72912 104435 6579 0 0 0 0
CA-20 57394 43836 0 0 0 0 0
CA-21 47517 116874 7238 0 0 0 0
CA-22 101424 102987 4597 0 0 0 0
CA-23 47345 114043 10952 0 0 0 0
CA-24 95342 91806 6031 0 0 0 0
CA-25 53445 110301 6225 0 0 0 0
CA-26 55145 28423 4570 0 0 0 0
CA-27 70267 88341 8166 0 0 0 0
CA-28 50022 110179 4076 0 0 0 0
CA-29 129413 53801 7162 0 0 0 0
CA-30 43943 18741 3741 0 0 0 0
CA-31 50541 34926 0 0 0 0 0
CA-32 98017 22190 6099 0 0 0 0
CA-33 33814 NA 7694 0 0 0 0
CA-34 72439 40068 4948 0 0 0 0
CA-35 65688 18390 3 0 0 0 0
CA-36 93939 93127 8742 0 0 0 0
CA-37 64166 NA 18765 0 0 0 0
CA-38 53681 85225 6863 0 0 0 0
CA-39 49696 113641 7907 0 0 0 0
CA-40 48003 115728 0 0 0 0 0
CA-41 50043 82100 0 0 0 0 0
CA-42 58888 56259 58 0 0 0 0
CA-43 59342 84500 10544 0 0 0 0
CA-44 65370 95521 10885 0 0 0 0
CA-45 55849 124875 0 0 0 0 0
CA-46 33004 50616 5077 0 0 0 0
CA-47 53669 154071 7257 0 0 0 0
CA-48 43523 143570 8543 0 0 0 0
CA-49 85597 90283 10238 0 0 0 0
CA-50 59214 36955 8282 0 0 0 0
CA-51 57374 138547 11067 0 0 0 0
CA-52 53024 109201 8461 0 0 0 0
CO-1 93123 61978 154 0 0 0 0
CO-2 105938 80723 0 0 0 0 0
CO-3 63427 145365 0 0 0 0 0
CO-4 52202 136251 0 0 0 0 0
CO-5 NA 138674 0 0 0 0 0
CO-6 49701 124079 3929 0 0 0 0
CT-1 138637 46865 3405 0 0 0 0
CT-2 79188 79167 27718 0 0 0 0
CT-3 111261 64094 0 0 0 0 0
CT-4 34962 109436 2664 0 0 0 0
CT-5 81523 93471 4059 0 0 0 0
CT-6 60701 123101 8915 0 0 0 0
DE-1 51793 137945 5270 0 0 0 0
FL-1 70416 112974 130 0 0 0 0
FL-2 117420 74040 8 0 0 0 0
FL-3 63855 46907 0 0 0 0 0
FL-4 NA 1 0 0 0 0 0
FL-5 125792 94097 0 0 0 0 0
FL-6 NA 148741 1332 0 0 0 0
FL-7 47758 131731 0 0 0 0 0
FL-8 NA 131393 439 0 0 0 0
FL-9 NA 177265 152 0 0 0 0
FL-10 NA 1 0 0 0 0 0
FL-11 76821 72129 9 0 0 0 0
FL-12 57210 106140 0 0 0 0 0
FL-13 NA 1 0 0 0 0 0
FL-14 NA 1 0 0 0 0 0
FL-15 100526 117044 332 0 0 0 0
FL-16 88653 122760 0 0 0 0 0
FL-17 75756 NA 11 0 0 0 0
FL-18 NA 1 0 0 0 0 0
FL-19 147595 75788 0 0 0 0 0
FL-20 114623 72525 0 0 0 0 0
FL-21 NA 90951 2 0 0 0 0
FL-22 69221 119696 0 0 0 0 0
FL-23 1 NA 0 0 0 0 0
GA-1 27197 88788 0 0 0 0 0
GA-2 65383 33429 0 0 0 0 0
GA-3 49828 94717 0 0 0 0 0
GA-4 65566 90063 0 0 0 0 0
GA-5 85094 37999 0 0 0 0 0
GA-6 66700 119432 0 0 0 0 0
GA-7 65978 71265 0 0 0 0 0
GA-8 53408 89591 0 0 0 0 0
GA-9 79145 57568 0 0 0 0 0
GA-10 51192 96099 0 0 0 0 0
GA-11 71560 37533 0 0 0 0 0
HI-1 94754 76623 5329 0 0 0 0
HI-2 124431 42891 10074 0 0 0 0
ID-1 89826 111728 0 0 0 0 0
ID-2 47936 143593 0 0 0 0 0
IL-1 112474 36038 0 0 0 0 0
IL-2 93998 NA 1857 0 0 0 0
IL-3 92353 78163 0 0 0 0 0
IL-4 46695 15384 0 0 0 0 0
IL-5 63065 75328 0 0 0 0 0
IL-6 37163 115664 4551 0 0 0 0
IL-7 93457 24011 0 0 0 0 0
IL-8 47654 88225 0 0 0 0 0
IL-9 94404 48419 0 0 0 0 0
IL-10 38191 114884 0 0 0 0 0
IL-11 63150 97241 4 0 0 0 0
IL-12 101391 52419 0 0 0 0 0
IL-13 45709 124312 0 0 0 0 0
IL-14 33891 110204 0 0 0 0 0
IL-15 50874 108857 0 0 0 0 0
IL-16 48736 117238 0 0 0 0 0
IL-17 95312 79471 0 0 0 0 0
IL-18 78332 119838 955 0 0 0 0
IL-19 115045 81995 0 0 0 0 0
IL-20 108034 88964 0 0 0 0 0
IN-1 68612 52920 0 0 0 0 0
IN-2 78241 93592 0 0 0 0 0
IN-3 72497 58878 0 0 0 0 0
IN-4 71235 88584 0 0 0 0 0
IN-5 45224 111031 3403 0 0 0 0
IN-6 40815 136876 0 0 0 0 0
IN-7 55941 104359 0 0 0 0 0
IN-8 84857 93529 0 0 0 0 0
IN-9 91459 84315 0 0 0 0 0
IN-10 58573 50998 0 0 0 0 0
IA-1 69461 110448 3477 0 0 0 0
IA-2 86087 111076 1281 0 0 0 0
IA-3 79310 111862 2282 0 0 0 0
IA-4 98824 111935 2307 0 0 0 0
IA-5 73627 114796 0 0 0 0 0
KS-1 49477 169531 0 0 0 0 0
KS-2 71025 135725 0 0 0 0 0
KS-3 78401 102218 0 0 0 0 0
KS-4 99366 111653 0 0 0 0 0
KY-1 62387 64849 0 0 0 0 0
KY-2 60867 90535 0 0 0 0 0
KY-3 67663 67238 17622 0 0 0 0
KY-4 33717 96695 0 0 0 0 0
KY-5 21318 82291 0 0 0 0 0
KY-6 70085 49032 0 0 0 0 0
LA-1 NA 1 0 0 0 0 0
LA-2 1 NA 0 0 0 0 0
LA-3 1 NA 0 0 0 0 0
LA-4 1 NA 0 0 0 0 0
LA-5 NA 1 0 0 0 0 0
LA-6 NA 1 0 0 0 0 0
LA-7 1 NA 0 0 0 0 0
ME-1 126373 136316 0 0 0 0 0
ME-2 109615 97754 32470 0 0 0 0
MD-1 57712 120975 127 0 0 0 0
MD-2 74275 125162 43 0 0 0 0
MD-3 117269 47966 0 0 0 0 0
MD-4 93148 30999 0 0 0 0 0
MD-5 98821 69211 13 0 0 0 0
MD-6 63411 122809 0 0 0 0 0
MD-7 97016 22007 0 0 0 0 0
MD-8 60660 143449 0 0 0 0 0
MA-1 150047 NA 0 0 0 0 0
MA-2 117178 72732 10167 0 0 0 0
MA-3 93689 115810 2375 0 0 0 0
MA-4 168942 NA 0 0 0 0 0
MA-5 140725 60734 0 0 0 0 0
MA-6 113481 120952 4960 0 0 0 0
MA-7 146246 80674 0 0 0 0 0
MA-8 113224 NA 0 0 0 0 0
MA-9 146287 63369 0 0 0 0 0
MA-10 172753 78487 0 0 0 0 0
MI-1 121433 89660 2399 0 0 0 0
MI-2 46097 146164 1892 0 0 0 0
MI-3 43580 136711 4775 0 0 0 0
MI-4 50544 145176 2797 0 0 0 0
MI-5 126456 61342 5345 0 0 0 0
MI-6 42348 121923 1667 0 0 0 0
MI-7 57326 115621 4534 0 0 0 0
MI-8 95383 109663 7424 0 0 0 0
MI-9 97096 89148 3240 0 0 0 0
MI-10 121876 73862 0 0 0 0 0
MI-11 69168 154696 2928 0 0 0 0
MI-12 103508 92762 2726 0 0 0 0
MI-13 89573 77908 5180 0 0 0 0
MI-14 128463 26215 2953 0 0 0 0
MI-15 119442 20074 2489 0 0 0 0
MI-16 105849 71159 1968 0 0 0 0
MN-1 95328 117613 277 0 0 0 0
MN-2 114289 98881 6615 0 0 0 0
MN-3 62211 173223 1097 0 0 0 0
MN-4 115638 88344 6648 0 0 0 0
MN-5 121515 73258 1399 0 0 0 0
MN-6 113740 113190 845 0 0 0 0
MN-7 108023 102623 357 0 0 0 0
MN-8 153161 79818 292 0 0 0 0
MS-1 47192 80553 0 0 0 0 0
MS-2 68014 49270 9408 0 0 0 0
MS-3 83163 39826 0 0 0 0 0
MS-4 82939 38200 0 0 0 0 0
MS-5 73179 48575 0 0 0 0 0
